name,sku,barcode,package,brand,roi,roi_days,short_description,long_description,in_stock,cost,price,featured_image,images,location,active
"Veet Home Salon Kit Save Rs.100",371026252,21098,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.6,3.78,grocerapp-veet-home-salon-kit-save-605ad637b5c7c.jpeg,"grocerapp-veet-home-salon-kit-save-605ad637b5c7c.jpeg,grocerapp-veet-home-salon-kit-save-605ad637b5c7c.jpeg",assets/images/product_images/,1
"Axe After Shave Africa",809635555,17925,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.8359999999999999,2.016,grocerapp-axe-after-shave-africa-621deead1021d.jpeg,"grocerapp-axe-after-shave-africa-621deead1021d.jpeg,grocerapp-axe-after-shave-africa-621deead1021d.jpeg",assets/images/product_images/,1
"Black Collection Indigo",69955409,8961,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.296,1.476,grocerapp-black-collection-indigo-61498a676fac1.jpeg,"grocerapp-black-collection-indigo-61498a676fac1.jpeg,grocerapp-black-collection-indigo-61498a676fac1.jpeg",assets/images/product_images/,1
"Champion Tooth Brush (UK) Protect Teeth (With Toy)",166221512,13674,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.216,0.39599999999999996,grocerapp-champion-tooth-brush-uk-protect-618e4c3ad5a87.jpeg,"grocerapp-champion-tooth-brush-uk-protect-618e4c3ad5a87.jpeg,grocerapp-champion-tooth-brush-uk-protect-618e4c3ad5a87.jpeg",assets/images/product_images/,1
"Fa Cucumber Body Spray",332062948,17116,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.4364,1.6164,grocerapp-fa-cucumber-body-spray-60f12e2b4c8c3.jpeg,"grocerapp-fa-cucumber-body-spray-60f12e2b4c8c3.jpeg,grocerapp-fa-cucumber-body-spray-60f12e2b4c8c3.jpeg",assets/images/product_images/,1
"Sunsilk Hairfall Solution Shampoo",466344880,26030,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.8964,1.0764,grocerapp-sunsilk-hairfall-solution-shampoo-6319cc50ee526.jpeg,"grocerapp-sunsilk-hairfall-solution-shampoo-6319cc50ee526.jpeg,grocerapp-sunsilk-hairfall-solution-shampoo-6319cc50ee526.jpeg",assets/images/product_images/,1
"VASELINE COCOA GLOW LOTION",525892623,4397,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.142,2.322,grocerapp-vaseline-cocoa-glow-lotion-61f773a405ae6.jpeg,"grocerapp-vaseline-cocoa-glow-lotion-61f773a405ae6.jpeg,grocerapp-vaseline-cocoa-glow-lotion-61f773a405ae6.jpeg",assets/images/product_images/,1
"Enchanteur Charming Roll On",462136797,14412,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.152,1.332,grocerapp-enchanteur-charming-roll-on-626cd3ee7760e.jpeg,"grocerapp-enchanteur-charming-roll-on-626cd3ee7760e.jpeg,grocerapp-enchanteur-charming-roll-on-626cd3ee7760e.jpeg",assets/images/product_images/,1
"Enchanteur Romantic Perfumed Talc Powder",603078326,17826,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-enchanteur-romantic-perfumed-talc-5e6c0ca60a33e.png,"grocerapp-enchanteur-romantic-perfumed-talc-5e6c0ca60a33e.png,grocerapp-enchanteur-romantic-perfumed-talc-5e6c0ca60a33e.png",assets/images/product_images/,1
"GSK acne aid soap 65gm",473758581,25208,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.45,0.63,grocerapp-gsk-acne-aid-soap-65gm-61a9def1bedfb.jpeg,"grocerapp-gsk-acne-aid-soap-65gm-61a9def1bedfb.jpeg,grocerapp-gsk-acne-aid-soap-65gm-61a9def1bedfb.jpeg",assets/images/product_images/,1
"Rivaj Light Brown 5 Color",559757190,18376,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.8539999999999999,2.034,grocerapp-rivaj-light-brown-5-color-6269307b91536.jpeg,"grocerapp-rivaj-light-brown-5-color-6269307b91536.jpeg,grocerapp-rivaj-light-brown-5-color-6269307b91536.jpeg",assets/images/product_images/,1
"Safeguard Pure White Antibacterial Liquid Hand Wash",609181055,140,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.36,0.54,grocerapp-safeguard-pure-white-antibacterial-liquid-6319d221d7448.jpeg,"grocerapp-safeguard-pure-white-antibacterial-liquid-6319d221d7448.jpeg,grocerapp-safeguard-pure-white-antibacterial-liquid-6319d221d7448.jpeg",assets/images/product_images/,1
"ST.IVES Coconut Water & Orchid Body Wash",20818016,16443,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.394,2.574,grocerapp-stives-coconut-water-orchid-6231afdfd051c.jpeg,"grocerapp-stives-coconut-water-orchid-6231afdfd051c.jpeg,grocerapp-stives-coconut-water-orchid-6231afdfd051c.jpeg",assets/images/product_images/,1
"Dari Mooch Beard Conditioner",748345630,8745,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.3364,2.5164,grocerapp-dari-mooch-beard-conditioner-60cd8ce8dabac.jpeg,"grocerapp-dari-mooch-beard-conditioner-60cd8ce8dabac.jpeg,grocerapp-dari-mooch-beard-conditioner-60cd8ce8dabac.jpeg",assets/images/product_images/,1
"L'oreal Paris Hyaluron Expert Replumping Moisturizing Day Cream SPF 20",967799722,24382,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,5.2164,5.3964,grocerapp-loreal-paris-hyaluron-expert-replumping-6188f4abc0692.jpeg,"grocerapp-loreal-paris-hyaluron-expert-replumping-6188f4abc0692.jpeg,grocerapp-loreal-paris-hyaluron-expert-replumping-6188f4abc0692.jpeg",assets/images/product_images/,1
"Lux Rose Glow Rose and Vitamin E",336420705,24033,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,-0.018,0.162,grocerapp-lux-rose-glow-rose-and-6319cde588b84.jpeg,"grocerapp-lux-rose-glow-rose-and-6319cde588b84.jpeg,grocerapp-lux-rose-glow-rose-and-6319cde588b84.jpeg",assets/images/product_images/,1
"NIVEA NATURAL FAIRNESS FACE&BODY CREAM 200 ML",442451375,25149,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.6199999999999999,1.8,grocerapp-nivea-natural-fairness-facebody-cream-5f9bb34063cd8.jpeg,"grocerapp-nivea-natural-fairness-facebody-cream-5f9bb34063cd8.jpeg,grocerapp-nivea-natural-fairness-facebody-cream-5f9bb34063cd8.jpeg",assets/images/product_images/,1
"VASELINE PETROLEUM JELLY ORIGINAL 20 GM",720930668,16924,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.5364,0.7163999999999999,grocerapp-vaseline-petroleum-jelly-original-20-61499b25427dd.jpeg,"grocerapp-vaseline-petroleum-jelly-original-20-61499b25427dd.jpeg,grocerapp-vaseline-petroleum-jelly-original-20-61499b25427dd.jpeg",assets/images/product_images/,1
"ECI Men Body Spray Coker",799324945,19564,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.242,1.422,grocerapp-eci-men-body-spray-coker-5f4d190fcaf03.jpeg,"grocerapp-eci-men-body-spray-coker-5f4d190fcaf03.jpeg,grocerapp-eci-men-body-spray-coker-5f4d190fcaf03.jpeg",assets/images/product_images/,1
"Garnier Skin Active Hand wash Tube",999023159,23174,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.188,1.3679999999999999,grocerapp-garnier-skin-active-hand-wash-60a4e1b64f3d3.jpeg,"grocerapp-garnier-skin-active-hand-wash-60a4e1b64f3d3.jpeg,grocerapp-garnier-skin-active-hand-wash-60a4e1b64f3d3.jpeg",assets/images/product_images/,1
"Herbal Essences Conditioner Blue Ginger",270289921,11733,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.16,2.34,grocerapp-herbal-essences-conditioner-blue-ginger-618f56e5b83ff.jpeg,"grocerapp-herbal-essences-conditioner-blue-ginger-618f56e5b83ff.jpeg,grocerapp-herbal-essences-conditioner-blue-ginger-618f56e5b83ff.jpeg",assets/images/product_images/,1
"Jazee Disposable Barber Single Sheet",362467640,1714,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0,0.18,grocerapp-jazee-disposable-barber-single-sheet-62a8304ff2d2d.jpeg,"grocerapp-jazee-disposable-barber-single-sheet-62a8304ff2d2d.jpeg,grocerapp-jazee-disposable-barber-single-sheet-62a8304ff2d2d.jpeg",assets/images/product_images/,1
"Rivaj Ash Natural Blond 7.1 Color",635066015,14970,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.8539999999999999,2.034,grocerapp-rivaj-ash-natural-blond-71-62692f0745c08.jpeg,"grocerapp-rivaj-ash-natural-blond-71-62692f0745c08.jpeg,grocerapp-rivaj-ash-natural-blond-71-62692f0745c08.jpeg",assets/images/product_images/,1
"a'mrij mattifying poreless primer",513780865,21037,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.1364,4.3164,grocerapp-amrij-mattifying-poreless-primer-6209e820b2077.jpeg,"grocerapp-amrij-mattifying-poreless-primer-6209e820b2077.jpeg,grocerapp-amrij-mattifying-poreless-primer-6209e820b2077.jpeg",assets/images/product_images/,1
"LOREAL ELVIVE EXTRAORDINARY OIL REPLACEMENT",567582171,18,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.4164,3.5964,grocerapp-loreal-elvive-extraordinary-oil-replacement-61f522778b015.jpeg,"grocerapp-loreal-elvive-extraordinary-oil-replacement-61f522778b015.jpeg,grocerapp-loreal-elvive-extraordinary-oil-replacement-61f522778b015.jpeg",assets/images/product_images/,1
"Maybelline Instant Age Rewind Eraser Fair",900191542,135,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,6.2964,6.4764,grocerapp-maybelline-instant-age-rewind-eraser-62319d36540a2.jpeg,"grocerapp-maybelline-instant-age-rewind-eraser-62319d36540a2.jpeg,grocerapp-maybelline-instant-age-rewind-eraser-62319d36540a2.jpeg",assets/images/product_images/,1
"Darhi Mooch Silver Starter Beard Grooming Kit",823707168,21906,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,9.9,10.08,grocerapp-darhi-mooch-silver-starter-beard-6024e9af3ed4d.jpeg,"grocerapp-darhi-mooch-silver-starter-beard-6024e9af3ed4d.jpeg,grocerapp-darhi-mooch-silver-starter-beard-6024e9af3ed4d.jpeg",assets/images/product_images/,1
"Enchanteur Charming Perfumed Talc Powder",230105751,23868,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-enchanteur-charming-perfumed-talc-5e6c048903171.png,"grocerapp-enchanteur-charming-perfumed-talc-5e6c048903171.png,grocerapp-enchanteur-charming-perfumed-talc-5e6c048903171.png",assets/images/product_images/,1
"Enchanteur Gorgeous Body Spray",626224334,4266,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.088,2.268,grocerapp-enchanteur-gorgeous-body-spray-6268d9432f4a8.jpeg,"grocerapp-enchanteur-gorgeous-body-spray-6268d9432f4a8.jpeg,grocerapp-enchanteur-gorgeous-body-spray-6268d9432f4a8.jpeg",assets/images/product_images/,1
"Enchanteur Gorgeous Perfumed Talc Powder",79065753,2503,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-enchanteur-gorgeous-perfumed-talc-powder-627def2e148dd.jpeg,"grocerapp-enchanteur-gorgeous-perfumed-talc-powder-627def2e148dd.jpeg,grocerapp-enchanteur-gorgeous-perfumed-talc-powder-627def2e148dd.jpeg",assets/images/product_images/,1
"Enchanteur Stunning Prfumed Talc Powder",93862909,22029,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-enchanteur-stunning-prfumed-talc-powder-626a44b111f1a.jpeg,"grocerapp-enchanteur-stunning-prfumed-talc-powder-626a44b111f1a.jpeg,grocerapp-enchanteur-stunning-prfumed-talc-powder-626a44b111f1a.jpeg",assets/images/product_images/,1
"Flormar lash 3in1 mascara 13ML",520843481,41,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.1679999999999997,3.348,grocerapp-flormar-lash-3in1-mascara-13ml-6299ecefadfdd.jpeg,"grocerapp-flormar-lash-3in1-mascara-13ml-6299ecefadfdd.jpeg,grocerapp-flormar-lash-3in1-mascara-13ml-6299ecefadfdd.jpeg",assets/images/product_images/,1
"Maybelline New York Fit Me Dewy & Smooth Primer - For Normal to Dry Skin",807118223,10279,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,5.2164,5.3964,grocerapp-maybelline-new-york-fit-me-62318d52d3e02.jpeg,"grocerapp-maybelline-new-york-fit-me-62318d52d3e02.jpeg,grocerapp-maybelline-new-york-fit-me-62318d52d3e02.jpeg",assets/images/product_images/,1
"Rivaj Dark Blond 6 Color",451331873,18221,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.8539999999999999,2.034,grocerapp-rivaj-dark-blond-6-color-62692f75ba0c6.jpeg,"grocerapp-rivaj-dark-blond-6-color-62692f75ba0c6.jpeg,grocerapp-rivaj-dark-blond-6-color-62692f75ba0c6.jpeg",assets/images/product_images/,1
"Rivaj Mahogany Brown 4.5 Color",324999240,10475,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.8539999999999999,2.034,grocerapp-rivaj-mahogany-brown-45-color-62692fe34a982.jpeg,"grocerapp-rivaj-mahogany-brown-45-color-62692fe34a982.jpeg,grocerapp-rivaj-mahogany-brown-45-color-62692fe34a982.jpeg",assets/images/product_images/,1
"a'mrij midnight matte eyeliner AM004",336798122,18467,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.4963999999999995,4.6764,grocerapp-amrij-midnight-matte-eyeliner-am004-620a03e0549dc.jpeg,"grocerapp-amrij-midnight-matte-eyeliner-am004-620a03e0549dc.jpeg,grocerapp-amrij-midnight-matte-eyeliner-am004-620a03e0549dc.jpeg",assets/images/product_images/,1
"Rivaj HD long wear water proof gel eyeliner",176974087,10573,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.4963999999999995,4.6764,grocerapp-rivaj-hd-long-wear-water-620b89ee94a2d.jpeg,"grocerapp-rivaj-hd-long-wear-water-620b89ee94a2d.jpeg,grocerapp-rivaj-hd-long-wear-water-620b89ee94a2d.jpeg",assets/images/product_images/,1
"Rivaj Mineral Foundation Stick (Shade #3 )",809644905,10392,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.528,3.7079999999999997,grocerapp-rivaj-3-3w-natural-mineral-6246b48c93093.jpeg,"grocerapp-rivaj-3-3w-natural-mineral-6246b48c93093.jpeg,grocerapp-rivaj-3-3w-natural-mineral-6246b48c93093.jpeg",assets/images/product_images/,1
"a'mrij Diva Matte Lipstick (Shade # 2)",850075981,8815,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.6964,2.8764,grocerapp-amrij-02-diva-matte-lipstick-6246d54c94bd4.jpeg,"grocerapp-amrij-02-diva-matte-lipstick-6246d54c94bd4.jpeg,grocerapp-amrij-02-diva-matte-lipstick-6246d54c94bd4.jpeg",assets/images/product_images/,1
"a'mrij Diva Matte Lipstick 06",666109850,5948,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.0564,3.2363999999999997,grocerapp-amrij-diva-matte-lipstick-06-6246cf8f66904.jpeg,"grocerapp-amrij-diva-matte-lipstick-06-6246cf8f66904.jpeg,grocerapp-amrij-diva-matte-lipstick-06-6246cf8f66904.jpeg",assets/images/product_images/,1
"Enchanteur Enticing Body Spray",291363396,10407,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.088,2.268,grocerapp-enchanteur-enticing-body-spray-6268e4af35be1.jpeg,"grocerapp-enchanteur-enticing-body-spray-6268e4af35be1.jpeg,grocerapp-enchanteur-enticing-body-spray-6268e4af35be1.jpeg",assets/images/product_images/,1
"Enchanteur Stunning Body Spray",379194727,5175,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.088,2.268,grocerapp-enchanteur-stunning-body-spray-6268db29d8b0d.jpeg,"grocerapp-enchanteur-stunning-body-spray-6268db29d8b0d.jpeg,grocerapp-enchanteur-stunning-body-spray-6268db29d8b0d.jpeg",assets/images/product_images/,1
"Flormar Dip Eyeliner (black) 3.5ml T-3",502561032,20174,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.592,2.772,grocerapp-flormar-dip-liner-black-0003-6246da676f971.jpeg,"grocerapp-flormar-dip-liner-black-0003-6246da676f971.jpeg,grocerapp-flormar-dip-liner-black-0003-6246da676f971.jpeg",assets/images/product_images/,1
"Rivaj HD 24 hrs Foundation Improved Formula",147186342,14433,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,7.7364,7.916399999999999,grocerapp-rivaj-hd-24-hrs-foundation-6246b22103970.jpeg,"grocerapp-rivaj-hd-24-hrs-foundation-6246b22103970.jpeg,grocerapp-rivaj-hd-24-hrs-foundation-6246b22103970.jpeg",assets/images/product_images/,1
"Rivaj HD Color Crush Matte Lip Gloss (Shade # 14, Pink) 3.5ml",557308036,23855,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.888,4.068,grocerapp-rivaj-hd-35ml-14-color-6246edf5b35ff.jpeg,"grocerapp-rivaj-hd-35ml-14-color-6246edf5b35ff.jpeg,grocerapp-rivaj-hd-35ml-14-color-6246edf5b35ff.jpeg",assets/images/product_images/,1
"Rivaj HD Color Crush Matte Lip Gloss (Shade # 17, Light Brown) 3.5ml",143255080,1120,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.888,4.068,grocerapp-rivaj-hd-35ml-17-color-6246b69134986.jpeg,"grocerapp-rivaj-hd-35ml-17-color-6246b69134986.jpeg,grocerapp-rivaj-hd-35ml-17-color-6246b69134986.jpeg",assets/images/product_images/,1
"Rivaj HD Color Crush Matte Lip Gloss (Shade #10, Red) 3.5ml",862635770,22655,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.888,4.068,grocerapp-rivaj-hd-35ml-10-color-6246ddbfef134.jpeg,"grocerapp-rivaj-hd-35ml-10-color-6246ddbfef134.jpeg,grocerapp-rivaj-hd-35ml-10-color-6246ddbfef134.jpeg",assets/images/product_images/,1
"Rivaj HD poreless mattifing primer",708618476,13110,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,6.12,6.3,grocerapp-rivaj-hd-poreless-mattifing-primer-620b8c2c1cb21.jpeg,"grocerapp-rivaj-hd-poreless-mattifing-primer-620b8c2c1cb21.jpeg,grocerapp-rivaj-hd-poreless-mattifing-primer-620b8c2c1cb21.jpeg",assets/images/product_images/,1
"Rivaj High Definition Liquid Concealer (Shade # 3) 5ml",61754643,3927,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.1364,4.3164,grocerapp-rivaj-hd-5ml-3-high-6246cdda5d064.jpeg,"grocerapp-rivaj-hd-5ml-3-high-6246cdda5d064.jpeg,grocerapp-rivaj-hd-5ml-3-high-6246cdda5d064.jpeg",assets/images/product_images/,1
"Rivaj High Definition Liquid Concealer (Shade # 3) 5ml",656629261,19858,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.1364,4.3164,grocerapp-rivaj-hd-concealer-no3-627dedde5014a.jpeg,"grocerapp-rivaj-hd-concealer-no3-627dedde5014a.jpeg,grocerapp-rivaj-hd-concealer-no3-627dedde5014a.jpeg",assets/images/product_images/,1
"Rivaj Ivory Mineral Foundation Stick",460131915,7593,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.528,3.7079999999999997,grocerapp-rivaj-1-ivory-mineral-foundation-6209e69aece21.jpeg,"grocerapp-rivaj-1-ivory-mineral-foundation-6209e69aece21.jpeg,grocerapp-rivaj-1-ivory-mineral-foundation-6209e69aece21.jpeg",assets/images/product_images/,1
"Rivaj Mineral Foundation Stick (Shade # 5)",760446738,15088,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.528,3.7079999999999997,grocerapp-rivaj-5-fs-45-beige-6246dd187291e.jpeg,"grocerapp-rivaj-5-fs-45-beige-6246dd187291e.jpeg,grocerapp-rivaj-5-fs-45-beige-6246dd187291e.jpeg",assets/images/product_images/,1
"a'mrij 12G Divine Mascara",480501991,7993,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.4963999999999995,4.6764,grocerapp-amrij-12g-divine-mascara-62989c6d6b9f9.jpeg,"grocerapp-amrij-12g-divine-mascara-62989c6d6b9f9.jpeg,grocerapp-amrij-12g-divine-mascara-62989c6d6b9f9.jpeg",assets/images/product_images/,1
"a'mrij Diva Matte Lipstick (Shade # 11)",263644393,22081,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.6964,2.8764,grocerapp-amrij-11-diva-matte-lipstick-6246d5d32a080.jpeg,"grocerapp-amrij-11-diva-matte-lipstick-6246d5d32a080.jpeg,grocerapp-amrij-11-diva-matte-lipstick-6246d5d32a080.jpeg",assets/images/product_images/,1
"a'mrij Diva Matte Lipstick (Shade # 3)",947333218,3560,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.6964,2.8764,grocerapp-amrij-03-diva-matte-lipstick-6246d6c39a0d0.jpeg,"grocerapp-amrij-03-diva-matte-lipstick-6246d6c39a0d0.jpeg,grocerapp-amrij-03-diva-matte-lipstick-6246d6c39a0d0.jpeg",assets/images/product_images/,1
"a'mrij Diva Matte Lipstick (Shade # 7)",196589562,14360,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.6964,2.8764,grocerapp-amrij-07-diva-matte-lipstick-6246d46c70e63.jpeg,"grocerapp-amrij-07-diva-matte-lipstick-6246d46c70e63.jpeg,grocerapp-amrij-07-diva-matte-lipstick-6246d46c70e63.jpeg",assets/images/product_images/,1
"a'mrij Gel Eye Liner",647886807,4493,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.8564,5.0363999999999995,grocerapp-amrij-gel-eye-liner-6246af5676a45.jpeg,"grocerapp-amrij-gel-eye-liner-6246af5676a45.jpeg,grocerapp-amrij-gel-eye-liner-6246af5676a45.jpeg",assets/images/product_images/,1
"Enchanteur Rose Oud Amour Body Spray",519545946,9166,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.088,2.268,grocerapp-enchanteur-rose-oud-amour-body-6268df41b3524.jpeg,"grocerapp-enchanteur-rose-oud-amour-body-6268df41b3524.jpeg,grocerapp-enchanteur-rose-oud-amour-body-6268df41b3524.jpeg",assets/images/product_images/,1
"FIREFLY HELLO KITTY TOOTH BRUSH WITH CAP 1 UNIT",705690202,12598,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.54,0.72,grocerapp-firefly-hello-kitty-tooth-brush-62aac3246ccea.jpeg,"grocerapp-firefly-hello-kitty-tooth-brush-62aac3246ccea.jpeg,grocerapp-firefly-hello-kitty-tooth-brush-62aac3246ccea.jpeg",assets/images/product_images/,1
"Flormar pore minimizer makeup primer",758622936,20582,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,5.202,5.382,grocerapp-flormar-pore-minimizer-makeup-primer-6209f3450b634.jpeg,"grocerapp-flormar-pore-minimizer-makeup-primer-6209f3450b634.jpeg,grocerapp-flormar-pore-minimizer-makeup-primer-6209f3450b634.jpeg",assets/images/product_images/,1
"Flormar spider lash deep black mascara 13ml",690731557,24333,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.1679999999999997,3.348,grocerapp-flormar-spider-lash-deep-black-6299b77a00f28.jpeg,"grocerapp-flormar-spider-lash-deep-black-6299b77a00f28.jpeg,grocerapp-flormar-spider-lash-deep-black-6299b77a00f28.jpeg",assets/images/product_images/,1
"Rivaj HD bold lash super volume mascara",39761256,25869,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.4963999999999995,4.6764,grocerapp-rivaj-hd-bold-lash-super-6209ee0c024e8.jpeg,"grocerapp-rivaj-hd-bold-lash-super-6209ee0c024e8.jpeg,grocerapp-rivaj-hd-bold-lash-super-6209ee0c024e8.jpeg",assets/images/product_images/,1
"Rivaj HD chubby lash jumbo brush mascara",851673198,21441,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.4963999999999995,4.6764,grocerapp-rivaj-hd-chubby-lash-jumbo-6209ebfdb8a53.jpeg,"grocerapp-rivaj-hd-chubby-lash-jumbo-6209ebfdb8a53.jpeg,grocerapp-rivaj-hd-chubby-lash-jumbo-6209ebfdb8a53.jpeg",assets/images/product_images/,1
"Rivaj HD Color Crush Matt Lip Gloss (Shade # 7,Light Burgundy) 3.5ml",642823102,15492,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.888,4.068,grocerapp-rivaj-hd-color-crush-matt-6246ca087e2a1.jpeg,"grocerapp-rivaj-hd-color-crush-matt-6246ca087e2a1.jpeg,grocerapp-rivaj-hd-color-crush-matt-6246ca087e2a1.jpeg",assets/images/product_images/,1
"Rivaj HD Colour Crush Matte Lip Gloss (Shade # 5, Plum) 3.5ml",216439775,5958,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.888,4.068,grocerapp-rivaj-hd-35ml-5-color-6246c7fcf0843.jpeg,"grocerapp-rivaj-hd-35ml-5-color-6246c7fcf0843.jpeg,grocerapp-rivaj-hd-35ml-5-color-6246c7fcf0843.jpeg",assets/images/product_images/,1
"Rivaj High Definition Liquid Concealer (Shade # 4) 5ml",804575418,24364,2,1,5,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,4.1364,4.3164,grocerapp-rivaj-hd-5ml-4-high-6246cb61a4b61.jpeg,"grocerapp-rivaj-hd-5ml-4-high-6246cb61a4b61.jpeg,grocerapp-rivaj-hd-5ml-4-high-6246cb61a4b61.jpeg",assets/images/product_images/,1
